front,back
山梨県と静岡県の境目に位置する、標高3776mと日本で一番高い山は何？,富士山
日本の首都であり、人口が最も多い都市はどこ？,東京
日本で最も長い川は何？,信濃川
日本の国鳥は何？,キジ
日本の最南端に位置する都道府県はどこ？,沖縄県
日本の国技とされる格闘技は何？,相撲
日本の紙幣で一万円札に描かれている人物は誰？,福沢諭吉
日本の伝統的な詩の形式で、五・七・五の音からなるものは何？,俳句
日本の国花とされる花は何？,桜
日本で最も面積が大きい都道府県はどこ？,北海道
日本の最西端に位置する都道府県はどこ？,長崎県
日本の国会は何院制？,二院制
日本の最北端に位置する有人島はどこ？,礼文島
日本の最古の歴史書とされる書物は何？,古事記
日本の初代内閣総理大臣は誰？,伊藤博文
日本の国旗に描かれている色は何色？,赤と白
日本の伝統的な衣服で、成人式や結婚式で着用されるものは何？,着物
日本の最東端に位置する都道府県はどこ？,北海道
日本の三大祭りの一つで、京都で行われる祭りは何？,祇園祭
日本の最も高いビルは何？,あべのハルカス
日本の伝統的な楽器で、13本の弦を持つものは何？,琴
日本の最も古いお寺とされるのはどこ？,法隆寺
日本の最も人口が少ない都道府県はどこ？,鳥取県
日本の最も面積が小さい都道府県はどこ？,香川県
日本の最も長いトンネルは何？,青函トンネル
日本の最も古い貨幣とされるものは何？,和同開珎
日本の最も高い滝は何？,那智の滝
日本の最も深い湖は何？,田沢湖
日本の最も大きい湖は何？,琵琶湖
日本の最も古い神社とされるのはどこ？,伊勢神宮
日本の最も高い塔は何？,東京スカイツリー
日本の最も古い城とされるのはどこ？,姫路城
日本の最も長い橋は何？,明石海峡大橋
日本の最も高いダムは何？,黒部ダム
日本の最も古い温泉とされるのはどこ？,道後温泉
日本の最も大きい空港はどこ？,成田国際空港
日本の最も古い大学とされるのはどこ？,東京大学
日本の最も高い観覧車は何？,レッドホースオオサカホイール
日本の最も古い動物園とされるのはどこ？,上野動物園
日本の最も高い遊園地の観覧車は何？,ダイヤと花の大観覧車
日本の最も古い美術館とされるのはどこ？,東京国立博物館
日本の最も高いホテルは何？,横浜ロイヤルパークホテル
日本の最も古い映画館とされるのはどこ？,浅草電気館
日本の最も高いマンションは何？,ザ・タワー大阪
日本の最も古い郵便局とされるのはどこ？,長崎郵便局
日本の最も高い観光タワーは何？,東京タワー
日本の最も古い鉄道駅とされるのはどこ？,新橋駅
日本の最も高い山脈は何？,日本アルプス
日本の最も古い公園とされるのはどこ？,上野公園
日本の最も高い噴火口は何？,浅間山
日本の最も古い灯台とされるのはどこ？,観音埼灯台
日本の最も高い火山は何？,富士山
日本の最も古い橋とされるのはどこ？,錦帯橋
日本の最も高いビルディングは何？,あべのハルカス
日本の最も古い水族館とされるのはどこ？,鴨川シーワールド
日本の最も高い展望台は何？,東京スカイツリー
日本の最も古い図書館とされるのはどこ？,帝国図書館
日本の最も高いモノレールは何？,東京モノレール
日本の最も古い競馬場とされるのはどこ？,中山競馬場
日本の最も高い観光施設は何？,東京スカイツリー
日本の最も古い植物園とされるのはどこ？,小石川植物園
日本の最も高い展望施設は何？,東京スカイツリー
日本の最も古い博物館とされるのはどこ？,東京国立博物館
日本の最も高い観覧車のある都市はどこ？,大阪市
日本の最も古い遊園地とされるのはどこ？,浅草花やしき
日本の最も高い山岳道路は何？,乗鞍エコーライン
日本の最も古い動物園のある都市はどこ？,東京都
日本の最も高い橋脚は何？,新北上大橋
日本の最も古い温泉地とされるのはどこ？,有馬温泉
日本の最も高い水力発電所は何？,黒部川第四発電所
日本の最も古い寺院のある都市はどこ？,奈良市
日本の最も高いダム湖は何？,黒部湖
日本の最も古い神社のある都市はどこ？,伊勢市
日本の最も高い山岳トンネルは何？,関越トンネル
日本の最も古い城のある都市はどこ？,姫路市
日本の最も高い鉄道駅は何？,野辺山駅
日本の最も古い郵便局のある都市はどこ？,長崎市
日本の最も高い灯台は何？,犬吠埼灯台
日本の最も古い美術館のある都市はどこ？,東京都
日本の最も高い観光タワーのある都市はどこ？,東京都
日本の最も古い映画館のある都市はどこ？,東京都
日本の最も高いマンションのある都市はどこ？,大阪市
日本の最も古い図書館のある都市はどこ？,東京都
日本の最も高い観覧車のある遊園地はどこ？,エキスポシティ
日本の最も古い競馬場のある都市はどこ？,船橋市
日本の最も高い展望台のある都市はどこ？,東京都
日本の最も古い植物園のある都市はどこ？,東京都
日本の最も高い山岳道路のある都道府県はどこ？,長野県
日本の最も古い水族館のある都市はどこ？,千葉県
日本の最も高い観光施設のある都市はどこ？,東京都
日本の最も古い博物館のある都市はどこ？,東京都
日本の最も高い山脈のある都道府県はどこ？,長野県
日本の最も古い遊園地のある都市はどこ？,東京都
日本の最も高い山岳トンネルのある都道府県はどこ？,新潟県
日本の最も古い温泉地のある都道府県はどこ？,兵庫県
日本の最も高いダム湖のある都道府県はどこ？,富山県
日本の最も古い寺院のある都道府県はどこ？,奈良県
日本の最も高い鉄道駅のある都道府県はどこ？,長野県
日本の最も古い神社のある都道府県はどこ？,三重県
日本の最も高い灯台のある都道府県はどこ？,千葉県
日本の最も古い美術館のある都道府県はどこ？,東京都
日本の最も高い観光タワーのある都道府県はどこ？,東京都
日本の最も古い映画館のある都道府県はどこ？,東京都
日本の最も高いマンションのある都道府県はどこ？,大阪府
日本の最も古い図書館のある都道府県はどこ？,東京都
